I1	freq	reliability
0.250000	0.000000	0.052083
0.250000	0.100000	0.052083
0.250000	0.200000	0.043750
0.250000	0.300000	0.043750
0.250000	0.400000	0.043750
0.250000	0.500000	0.052083
0.250000	0.600000	0.052083
0.250000	0.700000	0.052083
0.250000	0.800000	0.068750
0.250000	0.900000	0.052083
0.250000	1.000000	0.052083
0.250000	1.100000	0.068750
0.250000	1.200000	0.060417
0.250000	1.300000	0.043750
0.250000	1.400000	0.043750
0.250000	1.500000	0.067636
0.250000	1.600000	0.043750
0.250000	1.700000	0.060417
0.250000	1.800000	0.043750
0.250000	1.900000	0.043750
0.250000	2.000000	0.043750
0.250000	2.100000	0.049455
0.250000	2.200000	0.043750
0.250000	2.300000	0.043750
0.250000	2.400000	0.043750
0.250000	2.500000	0.049455
0.250000	2.600000	0.049455
0.250000	2.700000	0.043750
0.250000	2.799999	0.049455
0.250000	2.899999	0.045333
0.250000	2.999999	0.049455
0.250000	3.099999	0.049455
0.250000	3.199999	0.043750
0.250000	3.299999	0.058545
0.250000	3.399999	0.049455
0.250000	3.499999	0.043750
0.250000	3.599999	0.043750
0.250000	3.699999	0.076727
0.250000	3.799999	0.043750
0.250000	3.899998	0.043750
0.250000	3.999998	0.043750
0.250000	4.099998	0.043750
0.250000	4.199998	0.085417
0.250000	4.299998	0.060417
0.250000	4.399998	0.043750
0.250000	4.499998	0.049455
0.250000	4.599998	0.049455
0.250000	4.699998	0.058545
0.250000	4.799998	0.043750
0.250000	4.899998	0.043750
0.250000	4.999998	0.068750
0.250000	5.099998	0.060417
0.250000	5.199997	0.049455
0.250000	5.299997	0.043750
0.250000	5.399997	0.043750
0.250000	5.499997	0.045333
0.250000	5.599997	0.049455
0.250000	5.699997	0.049455
0.250000	5.799997	0.043750
0.250000	5.899997	0.043750
0.250000	5.999997	0.049455
0.250000	6.099997	0.049455
0.250000	6.199996	0.052083
0.250000	6.299996	0.067636
0.250000	6.399996	0.043750
0.250000	6.499996	0.049455
0.250000	6.599996	0.043750
0.250000	6.699996	0.043750
0.250000	6.799996	0.043750
0.250000	6.899996	0.049455
0.250000	6.999996	0.067636
0.250000	7.099996	0.060417
0.250000	7.199996	0.076727
0.250000	7.299995	0.049455
0.250000	7.399995	0.068750
0.250000	7.499995	0.052083
0.250000	7.599995	0.058545
0.250000	7.699995	0.049455
0.250000	7.799995	0.043750
0.250000	7.899995	0.043750
0.250000	7.999995	0.049455
0.250000	8.099995	0.049455
0.250000	8.199995	0.068750
0.250000	8.299995	0.049455
0.250000	8.399996	0.043750
0.250000	8.499996	0.067636
0.250000	8.599997	0.049455
0.250000	8.699997	0.043750
0.250000	8.799997	0.043750
0.250000	8.899998	0.043750
