I1	freq	reliability
0.750000	0.000000	0.052083
0.750000	0.100000	0.052083
0.750000	0.200000	0.049455
0.750000	0.300000	0.043750
0.750000	0.400000	0.043750
0.750000	0.500000	0.043750
0.750000	0.600000	0.052083
0.750000	0.700000	0.049455
0.750000	0.800000	0.043750
0.750000	0.900000	0.043750
0.750000	1.000000	0.043750
0.750000	1.100000	0.043750
0.750000	1.200000	0.052083
0.750000	1.300000	0.049455
0.750000	1.400000	0.085417
0.750000	1.500000	0.087364
0.750000	1.600000	0.058545
0.750000	1.700000	0.043750
0.750000	1.800000	0.068750
0.750000	1.900000	0.049455
0.750000	2.000000	0.043750
0.750000	2.100000	0.067636
0.750000	2.200000	0.043750
0.750000	2.300000	0.043750
0.750000	2.400000	0.049455
0.750000	2.500000	0.045333
0.750000	2.600000	0.045333
0.750000	2.700000	0.049455
0.750000	2.799999	0.049455
0.750000	2.899999	0.049455
0.750000	2.999999	0.043750
0.750000	3.099999	0.049455
0.750000	3.199999	0.049455
0.750000	3.299999	0.049455
0.750000	3.399999	0.052083
0.750000	3.499999	0.056100
0.750000	3.599999	0.043750
0.750000	3.699999	0.043750
0.750000	3.799999	0.043750
0.750000	3.899998	0.049455
0.750000	3.999998	0.049455
0.750000	4.099998	0.049455
0.750000	4.199998	0.043750
0.750000	4.299998	0.049455
0.750000	4.399998	0.043750
0.750000	4.499998	0.066100
0.750000	4.599998	0.049455
0.750000	4.699998	0.049455
0.750000	4.799998	0.049455
0.750000	4.899998	0.049455
0.750000	4.999998	0.049455
0.750000	5.099998	0.052083
0.750000	5.199997	0.049455
0.750000	5.299997	0.045333
0.750000	5.399997	0.049455
0.750000	5.499997	0.043750
0.750000	5.599997	0.068750
0.750000	5.699997	0.060417
0.750000	5.799997	0.068750
0.750000	5.899997	0.049455
0.750000	5.999997	0.060417
0.750000	6.099997	0.077083
0.750000	6.199996	0.060417
0.750000	6.299996	0.085417
0.750000	6.399996	0.049455
0.750000	6.499996	0.085417
0.750000	6.599996	0.106100
0.750000	6.699996	0.043750
0.750000	6.799996	0.060417
0.750000	6.899996	0.060417
0.750000	6.999996	0.058545
0.750000	7.099996	0.085417
0.750000	7.199996	0.058545
0.750000	7.299995	0.049455
0.750000	7.399995	0.049455
0.750000	7.499995	0.058545
0.750000	7.599995	0.043750
0.750000	7.699995	0.049455
0.750000	7.799995	0.052083
0.750000	7.899995	0.067636
0.750000	7.999995	0.043750
0.750000	8.099995	0.045333
0.750000	8.199995	0.049455
0.750000	8.299995	0.049455
0.750000	8.399996	0.043750
0.750000	8.499996	0.043750
0.750000	8.599997	0.060417
0.750000	8.699997	0.067636
0.750000	8.799997	0.052083
0.750000	8.899998	0.043750
0.750000	8.999998	0.053667
0.750000	9.099998	0.049455
0.750000	9.199999	0.043750
0.750000	9.299999	0.043750
0.750000	9.400000	0.060417
0.750000	9.500000	0.043750
0.750000	9.600000	0.043750
0.750000	9.700001	0.043750
0.750000	9.800001	0.043750
0.750000	9.900002	0.043750
0.750000	10.000002	0.043750
0.750000	10.100002	0.042000
0.750000	10.200003	0.043750
0.750000	10.300003	0.052083
0.750000	10.400003	0.060417
0.750000	10.500004	0.068750
0.750000	10.600004	0.043750
0.750000	10.700005	0.043750
0.750000	10.800005	0.042000
0.750000	10.900005	0.068750
0.750000	11.000006	0.052083
0.750000	11.100006	0.043750
0.750000	11.200006	0.052083
0.750000	11.300007	0.043750
0.750000	11.400007	0.043750
0.750000	11.500008	0.052083
0.750000	11.600008	0.067000
0.750000	11.700008	0.052083
0.750000	11.800009	0.060417
0.750000	11.900009	0.043750
0.750000	12.000010	0.042000
0.750000	12.100010	0.043750
0.750000	12.200010	0.052083
0.750000	12.300011	0.042000
0.750000	12.400011	0.043750
0.750000	12.500011	0.043750
0.750000	12.600012	0.060417
0.750000	12.700012	0.043750
0.750000	12.800013	0.043750
0.750000	12.900013	0.052083
0.750000	13.000013	0.060417
0.750000	13.100014	0.060417
0.750000	13.200014	0.052083
0.750000	13.300014	0.052083
0.750000	13.400015	0.060417
0.750000	13.500015	0.052083
0.750000	13.600016	0.049455
0.750000	13.700016	0.060417
0.750000	13.800016	0.043750
